PeakID (cmd=annotatePeaks.pl results/filtered_reproducible_peaks.bed mm10 -gtf results/m39_gene_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr4-637	chr4	129269723	129269891	+	1	NA	intron (ENSMUST00000030610.3, intron 1 of 4)	protein_coding-intron (ENSMUST00000030610.3, intron 1 of 4)	2102	ENSMUST00000030610.3	ENSMUSG00000028807	ENSMUST00000030610			Zbtb8a			protein_coding
chr2-1489	chr2	51128685	51128800	+	1	NA	Intergenic	Intergenic	-3101	ENSMUST00000139497.2	ENSMUSG00000086349	ENSMUST00000139497			Gm13497			lncRNA
chr1-1248	chr1	138250507	138250675	+	1	NA	Intergenic	Intergenic	49115	ENSMUST00000027643.6	ENSMUSG00000026394	ENSMUST00000027643			Atp6v1g3			protein_coding
chr13-674	chr13	101558699	101558867	+	1	NA	intron (ENSMUST00000210384.2, intron 6 of 8)	lncRNA-intron (ENSMUST00000190493.2, intron 2 of 6)	20976	ENSMUST00000192941.2	ENSMUSG00000103437	ENSMUST00000192941			Gm36994			TEC
chr14-145	chr14	31157043	31157211	+	1	NA	intron (ENSMUST00000140002.8, intron 1 of 10)	protein_coding-intron (ENSMUST00000091903.5, intron 1 of 8)	895	ENSMUST00000091903.5	ENSMUSG00000021892	ENSMUST00000147586			Sh3bp5			protein_coding
chr16-214	chr16	57169558	57169726	+	1	NA	intron (ENSMUST00000114371.5, intron 1 of 9)	protein_coding-intron (ENSMUST00000114371.5, intron 1 of 9)	-3814	ENSMUST00000159816.8	ENSMUSG00000043336	ENSMUST00000159816			Filip1l			protein_coding
chr17-275	chr17	73277917	73278085	+	1	NA	Intergenic	Intergenic	-16792	ENSMUST00000093636.4	ENSMUSG00000118930	ENSMUST00000093636			Gm23649			snRNA
chr18-147	chr18	66994798	66994966	+	1	NA	Intergenic	Intergenic	-1305	ENSMUST00000057942.4	ENSMUSG00000047259	ENSMUST00000057942			Mc4r			protein_coding
chr2-976	chr2	127687633	127687801	+	1	NA	intron (ENSMUST00000126410.2, intron 1 of 5)	protein_coding-intron (ENSMUST00000126410.2, intron 1 of 5)	6921	ENSMUST00000126410.2	ENSMUSG00000027380	ENSMUST00000110344			Acoxl			protein_coding
chr8-379	chr8	96284091	96284259	+	1	NA	intron (ENSMUST00000041569.5, intron 8 of 8)	protein_coding-intron (ENSMUST00000041569.5, intron 8 of 8)	5754	ENSMUST00000212067.2	ENSMUSG00000110577	ENSMUST00000212067			1700112L15Rik			TEC
chr2-831	chr2	29595558	29595726	+	1	NA	intron (ENSMUST00000238899.2, intron 10 of 23)	protein_coding-intron (ENSMUST00000091146.12, intron 9 of 25)	3148	ENSMUST00000147488.2	ENSMUSG00000039844	ENSMUST00000102872			Rapgef1			protein_coding
chr12-194	chr12	38831191	38831359	+	1	NA	exon (ENSMUST00000161513.9, exon 1 of 7)	protein_coding-exon (ENSMUST00000161513.9, exon 1 of 7)	147	ENSMUST00000161513.9	ENSMUSG00000004151	ENSMUST00000160244			Etv1			protein_coding
chr11-662	chr11	72178646	72178814	+	1	NA	Intergenic	Intergenic	6888	ENSMUST00020182481.1	ENSMUSG00002074889	ENSMUST00020182481			Gm56365			rRNA
chr2-736	chr2	156942160	156942328	+	1	NA	exon (ENSMUST00000123932.8, exon 15 of 15)	protein_coding-exon (ENSMUST00000123932.8, exon 15 of 15)	9716	ENSMUST00000139149.2	ENSMUSG00000027639	ENSMUST00000160213			Samhd1			protein_coding
chr4-273	chr4	152095453	152095621	+	1	NA	intron (ENSMUST00000097773.4, intron 1 of 3)	protein_coding-intron (ENSMUST00000097773.4, intron 1 of 3)	-1461	ENSMUST00000206007.2	ENSMUSG00000108391	ENSMUST00000206007			Gm9768			TEC
chr4-42	chr4	125105746	125105914	+	1	NA	intron (ENSMUST00000245356.1, intron 4 of 4)	lncRNA-intron (ENSMUST00000244294.1, intron 4 of 6)	-16560	ENSMUST00000130055.2	ENSMUSG00000087010	ENSMUST00000130055			1700041M05Rik			lncRNA
chr16-494	chr16	10387377	10387511	+	1	NA	intron (ENSMUST00000155633.8, intron 4 of 22)	protein_coding-intron (ENSMUST00000038145.13, intron 4 of 20)	24171	ENSMUST00000038145.13	ENSMUSG00000068663	ENSMUST00000115827			Clec16a			protein_coding
chr2-203	chr2	71889085	71889253	+	1	NA	intron (ENSMUST00000124004.2, intron 1 of 2)	protein_coding-intron (ENSMUST00000028525.6, intron 1 of 27)	3840	ENSMUST00000124004.2	ENSMUSG00000049044	ENSMUST00000153887			Rapgef4			protein_coding
chr5-740	chr5	136120881	136121049	+	1	NA	TTS (ENSMUST00000125247.2)	protein_coding-TTS (ENSMUST00000125247.2)	1009	ENSMUST00000199502.2	ENSMUSG00000004952	ENSMUST00000140972			Rasa4			protein_coding
chr18-303	chr18	80100604	80100772	+	1	NA	intron (ENSMUST00000070219.9, intron 1 of 2)	protein_coding-intron (ENSMUST00000070219.9, intron 1 of 2)	10583	ENSMUST00000070219.9	ENSMUSG00000056214	ENSMUST00000070219			Pard6g			protein_coding
chr10-172	chr10	84833868	84834036	+	1	NA	intron (ENSMUST00000217175.2, intron 7 of 7)	protein_coding-intron (ENSMUST00000038523.15, intron 8 of 9)	5576	ENSMUST00000245850.1	ENSMUSG00000120795	ENSMUST00000245850			Gm56990			lncRNA
chr5-624	chr5	38542634	38542782	+	1	NA	intron (ENSMUST00000156272.8, intron 4 of 4)	protein_coding-intron (ENSMUST00000005238.13, intron 7 of 10)	40930	ENSMUST00000201983.2	ENSMUSG00000106932	ENSMUST00000201983			4930487D11Rik			lncRNA
chr12-185	chr12	16920912	16921080	+	1	NA	Intergenic	Intergenic	-20114	ENSMUST00000221201.2	ENSMUSG00000114018	ENSMUST00000245045			Gm36495			lncRNA
chr4-396	chr4	20343361	20343529	+	1	NA	promoter-TSS (ENSMUST00000141819.2)	lncRNA-promoter-TSS (ENSMUST00000141819.2)	-261	ENSMUST00000141819.2	ENSMUSG00000086017	ENSMUST00000141819			Gm11872			lncRNA
chr9-50	chr9	100524526	100524694	+	1	NA	promoter-TSS (ENSMUST00000129269.8)	protein_coding-promoter-TSS (ENSMUST00000129269.8)	-891	ENSMUST00000146312.8	ENSMUSG00000037286	ENSMUST00000191345			Stag1			protein_coding
chr5-721	chr5	120701047	120701196	+	1	NA	intron (ENSMUST00000200708.2, intron 2 of 14)	protein_coding-intron (ENSMUST00000046426.10, intron 2 of 27)	-10017	ENSMUST00000201971.2	ENSMUSG00000106825	ENSMUST00000201971			2510016D11Rik			TEC
chrX-64	chrX	149438093	149438261	+	1	NA	exon (ENSMUST00000087253.11, exon 3 of 14)	protein_coding-exon (ENSMUST00000087253.11, exon 3 of 14)	747	ENSMUST00000164071.2	ENSMUSG00000025272	ENSMUST00000087258			Tro			protein_coding
chr5-826	chr5	121772815	121772983	+	1	NA	promoter-TSS (ENSMUST00000137789.8)	protein_coding-promoter-TSS (ENSMUST00000137789.8)	61	ENSMUST00000137789.8	ENSMUSG00000029456	ENSMUST00000031412			Acad10			protein_coding
chr17-651	chr17	10936119	10936287	+	1	NA	intron (ENSMUST00000041463.7, intron 2 of 4)	protein_coding-intron (ENSMUST00000041463.7, intron 2 of 4)	-86249	ENSMUST00000160599.2	ENSMUSG00000037196	ENSMUST00000160599			Pacrg			protein_coding
chr4-465	chr4	141333325	141333493	+	1	NA	promoter-TSS (ENSMUST00000105785.9)	protein_coding-promoter-TSS (ENSMUST00000105785.9)	-2	ENSMUST00000153189.8	ENSMUSG00000006219	ENSMUST00000105784			Fblim1			protein_coding
chr10-264	chr10	40306349	40306517	+	1	NA	intron (ENSMUST00000216736.2, intron 2 of 11)	protein_coding-intron (ENSMUST00000044672.11, intron 2 of 12)	-80334	ENSMUST00000143103.2	ENSMUSG00000038491	ENSMUST00000143103			Cdk19os			lncRNA
chr9-1044	chr9	70162335	70162503	+	1	NA	intron (ENSMUST00000214767.2, intron 1 of 17)	protein_coding-intron (ENSMUST00000034745.9, intron 1 of 27)	47769	ENSMUST00000034745.9	ENSMUSG00000032220	ENSMUST00000214042			Myo1e			protein_coding
chr8-370	chr8	71053111	71053279	+	1	NA	promoter-TSS (ENSMUST00000210006.2)	protein_coding-promoter-TSS (ENSMUST00000210006.2)	-636	ENSMUST00000210699.2	ENSMUSG00000070003	ENSMUST00000210756			Ssbp4			protein_coding
chr14-266	chr14	105655459	105655627	+	1	NA	Intergenic	Intergenic	-9450	ENSMUST00000226670.2	ENSMUSG00000115548	ENSMUST00000226670			5430440P10Rik			lncRNA
chr5-161	chr5	3294157	3294325	+	1	NA	Intergenic	Intergenic	7810	ENSMUST00000118533.2	ENSMUSG00000062353	ENSMUST00000118533			Gm15772			processed_pseudogene
chr5-786	chr5	64871799	64871964	+	1	NA	promoter-TSS (ENSMUST00000181929.2)	lncRNA-promoter-TSS (ENSMUST00000181929.2)	-89	ENSMUST00000181929.2	ENSMUSG00000097640	ENSMUST00000180799			Gm20033			lncRNA
chr3-996	chr3	88402289	88402457	+	1	NA	intron (ENSMUST00000120377.8, intron 1 of 9)	protein_coding-intron (ENSMUST00000029699.13, intron 1 of 11)	-1754	ENSMUST00000036252.7	ENSMUSG00000028063	ENSMUST00000036252			Lmna			protein_coding
chr2-1154	chr2	30533527	30533695	+	1	NA	intron (ENSMUST00000146702.2, intron 2 of 3)	lncRNA-intron (ENSMUST00000146702.2, intron 2 of 3)	-11274	ENSMUST00000245714.1	ENSMUSG00000120768	ENSMUST00000245714			Gm57431			lncRNA
chr7-675	chr7	133395449	133395617	+	1	NA	intron (ENSMUST00000211077.2, intron 1 of 4)	protein_coding-intron (ENSMUST00000065359.12, intron 1 of 10)	4319	ENSMUST00000211077.2	ENSMUSG00000053111	ENSMUST00000121560			Fank1			protein_coding
chr2-1039	chr2	45768762	45768910	+	1	NA	Intergenic	Intergenic	69352	ENSMUST00000121515.2	ENSMUSG00000083807	ENSMUST00000121515			Gm13466			processed_pseudogene
chr5-881	chr5	25301595	25301743	+	1	NA	intron (ENSMUST00000030784.14, intron 1 of 15)	protein_coding-intron (ENSMUST00000030784.14, intron 1 of 15)	3971	ENSMUST00000030784.14	ENSMUSG00000028944	ENSMUST00000129022			Prkag2			protein_coding
chr15-185	chr15	25627156	25627324	+	1	NA	intron (ENSMUST00000137601.8, intron 1 of 21)	protein_coding-intron (ENSMUST00000110457.8, intron 1 of 40)	4605	ENSMUST00000127486.2	ENSMUSG00000022272	ENSMUST00000126076			Myo10			protein_coding
chr1-991	chr1	180218431	180218599	+	1	NA	intron (ENSMUST00000070181.7, intron 2 of 7)	protein_coding-intron (ENSMUST00000070181.7, intron 2 of 7)	14506	ENSMUST00000194945.2	ENSMUSG00000103772	ENSMUST00000194945			Gm36933			TEC
chr1-1236	chr1	127140634	127140802	+	1	NA	intron (ENSMUST00000189427.7, intron 1 of 7)	protein_coding-intron (ENSMUST00000038361.11, intron 1 of 17)	7953	ENSMUST00000190921.2	ENSMUSG00000036155	ENSMUST00000190921			Mgat5			protein_coding
chr6-678	chr6	47940020	47940188	+	1	NA	intron (ENSMUST00000140719.2, intron 4 of 4)	protein_coding-intron (ENSMUST00000101445.11, intron 4 of 4)	9723	ENSMUST00000140719.2	ENSMUSG00000045466	ENSMUST00000101445			Zfp956			protein_coding
chr5-575	chr5	103969849	103970017	+	1	NA	intron (ENSMUST00000153165.8, intron 7 of 12)	protein_coding-intron (ENSMUST00000031256.6, intron 7 of 19)	37708	ENSMUST00000152145.2	ENSMUSG00000029313	ENSMUST00000152145			Aff1			protein_coding
chr19-199	chr19	26730239	26730407	+	1	NA	promoter-TSS (ENSMUST00000177116.8)	protein_coding-promoter-TSS (ENSMUST00000177116.8)	-677	ENSMUST00000177116.8	ENSMUSG00000024921	ENSMUST00000208984			Smarca2			protein_coding
chr2-1477	chr2	33699154	33699322	+	1	NA	intron (ENSMUST00000140412.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000041555.10, intron 6 of 9)	3367	ENSMUST00000140412.2	ENSMUSG00000086484	ENSMUST00000151761			Nron			lncRNA
chr13-339	chr13	70657229	70657397	+	1	NA	Intergenic	Intergenic	63999	ENSMUST00000222738.2	ENSMUSG00000034525	ENSMUST00000220637			Ice1			protein_coding
chr9-245	chr9	70148947	70149070	+	1	NA	intron (ENSMUST00000214767.2, intron 1 of 17)	protein_coding-intron (ENSMUST00000034745.9, intron 1 of 27)	34358	ENSMUST00000034745.9	ENSMUSG00000032220	ENSMUST00000214042			Myo1e			protein_coding
chr1-1241	chr1	133573493	133573661	+	1	NA	TTS (ENSMUST00000195067.2)	protein_coding-TTS (ENSMUST00000195067.2)	-6669	ENSMUST00000195669.2	ENSMUSG00000102976	ENSMUST00000193504			Zc3h11a			protein_coding
chr4-933	chr4	138612799	138612930	+	1	NA	Intergenic	Intergenic	6193	ENSMUST00000105804.2	ENSMUSG00000028751	ENSMUST00000105803			Pla2g2e			protein_coding
chr4-302	chr4	151012264	151012417	+	1	NA	promoter-TSS (ENSMUST00000116257.8)	protein_coding-promoter-TSS (ENSMUST00000116257.8)	-35	ENSMUST00000139826.8	ENSMUSG00000028965	ENSMUST00000126707			Tnfrsf9			protein_coding
chr15-194	chr15	75884681	75884844	+	1	NA	exon (ENSMUST00000238313.2, exon 1 of 5)	protein_coding-exon (ENSMUST00000238313.2, exon 1 of 5)	468	ENSMUST00000238313.2	ENSMUSG00000046761	ENSMUST00000238313			Fam83h			protein_coding
chr17-83	chr17	28607657	28607825	+	1	NA	Intergenic	Intergenic	-23545	ENSMUST00000041819.14	ENSMUSG00000037446	ENSMUST00000233921			Tulp1			protein_coding
chr2-748	chr2	27196988	27197156	+	1	NA	intron (ENSMUST00000185188.8, intron 3 of 29)	protein_coding-intron (ENSMUST00000056176.8, intron 4 of 27)	-19644	ENSMUST00000156020.2	ENSMUSG00000086669	ENSMUST00000156020			AA645442			lncRNA
chr16-683	chr16	30346822	30346964	+	1	NA	intron (ENSMUST00000149110.3, intron 4 of 6)	protein_coding-intron (ENSMUST00000089775.11, intron 10 of 11)	12834	ENSMUST00000149110.3	ENSMUSG00000022537	ENSMUST00000125260			Tmem44			protein_coding
chr8-99	chr8	78237161	78237329	+	1	NA	intron (ENSMUST00000210922.2, intron 1 of 21)	protein_coding-intron (ENSMUST00000076316.6, intron 1 of 22)	-6440	ENSMUST00000184762.3	ENSMUSG00000097882	ENSMUST00000243388			0610038B21Rik			lncRNA
chr18-125	chr18	5463281	5463449	+	1	NA	Intergenic	Intergenic	57744	ENSMUST00000177190.3	ENSMUSG00000063087	ENSMUST00000161383			Gm10125			lncRNA
chr18-590	chr18	9374863	9375031	+	1	NA	intron (ENSMUST00000234102.2, intron 2 of 8)	protein_coding-intron (ENSMUST00000053917.6, intron 3 of 9)	11862	ENSMUST00000234779.2	ENSMUSG00000024286	ENSMUST00000234382			Ccny			protein_coding
chr9-256	chr9	111852728	111852879	+	1	NA	Intergenic	Intergenic	94976	ENSMUST00000083507.4	ENSMUSG00000065441	ENSMUST00000083507			Mir128-2			miRNA
chr7-822	chr7	74058472	74058640	+	1	NA	intron (ENSMUST00000132826.2, intron 3 of 3)	protein_coding-intron (ENSMUST00000026897.14, intron 2 of 9)	16110	ENSMUST00000132826.2	ENSMUSG00000085161	ENSMUST00000132826			Gm7580			lncRNA
chr16-365	chr16	32617347	32617514	+	1	NA	intron (ENSMUST00000115116.8, intron 1 of 3)	protein_coding-intron (ENSMUST00000041123.9, intron 1 of 3)	375	ENSMUST00000115116.8	ENSMUSG00000035638	ENSMUST00000115116			Muc20			protein_coding
chr14-127	chr14	54346328	54346496	+	1	NA	intron (ENSMUST00000198124.5, intron 1 of 2)	lncRNA-intron (ENSMUST00000197620.2, intron 1 of 2)	-4513	ENSMUST00000179664.2	ENSMUSG00000096749	ENSMUST00000196221			Trdd1			TR_D_gene
chr5-249	chr5	120277316	120277371	+	1	NA	promoter-TSS (ENSMUST00000180812.3)	lncRNA-promoter-TSS (ENSMUST00000180812.3)	-15	ENSMUST00000181905.2	ENSMUSG00000097368	ENSMUST00000181905			Gm10390			lncRNA
chr7-524	chr7	65010119	65010287	+	1	NA	intron (ENSMUST00000206228.2, intron 2 of 4)	protein_coding-intron (ENSMUST00000032729.8, intron 1 of 26)	6327	ENSMUST00000206550.2	ENSMUSG00000108338	ENSMUST00000206550			Gm44794			TEC
chr9-69	chr9	91344559	91344727	+	1	NA	intron (ENSMUST00000191272.2, intron 1 of 2)	lncRNA-intron (ENSMUST00000191272.2, intron 1 of 2)	58116	ENSMUST00000191272.2	ENSMUSG00000100341	ENSMUST00000191272			Gm29478			lncRNA
chr3-537	chr3	121169557	121169725	+	1	NA	Intergenic	Intergenic	4687	ENSMUST00000197896.2	ENSMUSG00000106455	ENSMUST00000197896			Gm5711			processed_pseudogene
chr2-429	chr2	121418938	121419106	+	1	NA	intron (ENSMUST00000155570.8, intron 2 of 14)	protein_coding-intron (ENSMUST00000110592.2, intron 2 of 13)	-2108	ENSMUST00000133898.8	ENSMUSG00000027238	ENSMUST00000138157			Frmd5			protein_coding
chr7-782	chr7	19025291	19025459	+	1	NA	intron (ENSMUST00000108468.5, intron 1 of 6)	protein_coding-intron (ENSMUST00000032559.17, intron 4 of 9)	381	ENSMUST00000108468.5	ENSMUSG00000030401	ENSMUST00000032559			Rtn2			protein_coding
chr2-1320	chr2	69982356	69982496	+	1	NA	intron (ENSMUST00000112243.8, intron 7 of 33)	protein_coding-intron (ENSMUST00000060208.11, intron 8 of 34)	55784	ENSMUST00000112241.2	ENSMUSG00000042064	ENSMUST00000112241			Myo3b			protein_coding
chr9-579	chr9	20856029	20856197	+	1	NA	intron (ENSMUST00000177754.9, intron 1 of 38)	protein_coding-intron (ENSMUST00000004202.17, intron 1 of 38)	-7628	ENSMUST00000216135.2	ENSMUSG00000004099	ENSMUST00000214964			Dnmt1			protein_coding
chr3-333	chr3	121107964	121108132	+	1	NA	intron (ENSMUST00000198341.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000039442.12, intron 2 of 3)	22509	ENSMUST00000198341.2	ENSMUSG00000039887	ENSMUST00000198235			Alg14			protein_coding
chr17-622	chr17	74600507	74600675	+	1	NA	intron (ENSMUST00000233514.3, intron 1 of 8)	protein_coding-intron (ENSMUST00000078459.8, intron 1 of 8)	1194	ENSMUST00000078459.8	ENSMUSG00000058704	ENSMUST00000232989			Memo1			protein_coding
chr3-902	chr3	122264731	122264899	+	1	NA	intron (ENSMUST00000029766.9, intron 3 of 11)	protein_coding-intron (ENSMUST00000029766.9, intron 3 of 11)	6439	ENSMUST00020182700.1	ENSMUSG00002075702	ENSMUST00020182700			Gm54652			snRNA
chr3-392	chr3	85947993	85948161	+	1	NA	promoter-TSS (ENSMUST00000238545.2)	protein_coding-promoter-TSS (ENSMUST00000238545.2)	47	ENSMUST00000238545.2	ENSMUSG00000028082	ENSMUST00000238331			Sh3d19			protein_coding
chrX-19	chrX	79843488	79843656	+	1	NA	Intergenic	Intergenic	132982	ENSMUST00000117680.2	ENSMUSG00000083944	ENSMUST00000117680			Gm14733			processed_pseudogene
chr19-455	chr19	10432511	10432664	+	1	NA	TTS (ENSMUST00000171400.4)	protein_coding-TTS (ENSMUST00000171400.4)	2250	ENSMUST00000171400.4	ENSMUSG00000090291	ENSMUST00000171400			Lrrc10b			protein_coding
chr6-474	chr6	50080317	50080485	+	1	NA	intron (ENSMUST00000204812.2, intron 1 of 1)	lncRNA-intron (ENSMUST00000204812.2, intron 1 of 1)	-6820	ENSMUST00000166318.8	ENSMUSG00000038388	ENSMUST00000036225			Pals2			protein_coding
chr5-1155	chr5	31862455	31862623	+	1	NA	intron (ENSMUST00000114507.10, intron 2 of 10)	protein_coding-intron (ENSMUST00000063813.11, intron 3 of 13)	-3201	ENSMUST00000201018.2	ENSMUSG00000107151	ENSMUST00000201018			Gm43810			TEC
chr15-104	chr15	99732706	99732874	+	1	NA	TTS (ENSMUST00000169887.2)	lncRNA-TTS (ENSMUST00000169887.2)	-14766	ENSMUST00000109024.9	ENSMUSG00000023022	ENSMUST00000073691			Lima1			protein_coding
chr5-221	chr5	124489178	124489346	+	1	NA	promoter-TSS (ENSMUST00000111473.8)	protein_coding-promoter-TSS (ENSMUST00000111473.8)	455	ENSMUST00000111474.8	ENSMUSG00000029394	ENSMUST00000111474			Cdk2ap1			protein_coding
chr15-73	chr15	31318733	31318901	+	1	NA	intron (ENSMUST00000044324.9, intron 1 of 2)	protein_coding-intron (ENSMUST00000044324.9, intron 1 of 2)	6578	ENSMUST00000227391.2	ENSMUSG00000022237	ENSMUST00000076942			Ankrd33b			protein_coding
chr2-441	chr2	168300482	168300650	+	1	NA	Intergenic	Intergenic	-40072	ENSMUST00000119539.2	ENSMUSG00000082239	ENSMUST00000119539			Gm14234			processed_pseudogene
chr19-109	chr19	55091616	55091784	+	1	NA	promoter-TSS (ENSMUST00000236859.2)	protein_coding-promoter-TSS (ENSMUST00000236859.2)	-177	ENSMUST00000236859.2	ENSMUSG00000024978	ENSMUST00000237146			Gpam			protein_coding
chr16-74	chr16	3660952	3661120	+	1	NA	exon (ENSMUST00000214238.2, exon 2 of 2)	protein_coding-exon (ENSMUST00000214238.2, exon 2 of 2)	-4096	ENSMUST00000041778.8	ENSMUSG00000054939	ENSMUST00000041778			Zfp174			protein_coding
chr5-286	chr5	30069384	30069552	+	1	NA	Intergenic	Intergenic	27494	ENSMUST00000199286.2	ENSMUSG00000105437	ENSMUST00000199286			Gm42450			lncRNA
chr13-544	chr13	38064824	38064914	+	1	NA	intron (ENSMUST00000138110.8, intron 1 of 3)	protein_coding-intron (ENSMUST00000110237.9, intron 1 of 9)	-7541	ENSMUST00000124268.8	ENSMUSG00000039087	ENSMUST00000110237			Rreb1			protein_coding
chr8-30	chr8	117863631	117863799	+	1	NA	Intergenic	Intergenic	11641	ENSMUST00000176943.2	ENSMUSG00000093446	ENSMUST00000176943			Gm20694			processed_pseudogene
chr5-1219	chr5	103867869	103867987	+	1	NA	intron (ENSMUST00000126335.2, intron 2 of 6)	protein_coding-intron (ENSMUST00000126335.2, intron 2 of 6)	27688	ENSMUST00000126335.2	ENSMUSG00000029313	ENSMUST00000152145			Aff1			protein_coding
chr4-773	chr4	71049819	71049987	+	1	NA	promoter-TSS (ENSMUST00000143796.2)	lncRNA-promoter-TSS (ENSMUST00000143796.2)	-533	ENSMUST00000143796.2	ENSMUSG00000084937	ENSMUST00000143796			Gm11228			lncRNA
chr4-992	chr4	53186695	53186863	+	1	NA	Intergenic	Intergenic	-26884	ENSMUST00000030010.4	ENSMUSG00000015243	ENSMUST00000149127			Abca1			protein_coding
chr2-236	chr2	60656237	60656405	+	1	NA	intron (ENSMUST00000164147.8, intron 2 of 14)	protein_coding-intron (ENSMUST00000028347.13, intron 2 of 13)	-45036	ENSMUST00000153555.2	ENSMUSG00000026970	ENSMUST00000164147			Rbms1			protein_coding
chr17-723	chr17	74807293	74807461	+	1	NA	TTS (ENSMUST00000024873.7)	protein_coding-TTS (ENSMUST00000024873.7)	6454	ENSMUST00000234853.2	ENSMUSG00000024072	ENSMUST00000234853			Yipf4			protein_coding
chr9-570	chr9	120982499	120982667	+	1	NA	intron (ENSMUST00000171923.8, intron 25 of 36)	protein_coding-intron (ENSMUST00000051479.13, intron 25 of 33)	39540	ENSMUST00000164969.2	ENSMUSG00000040936	ENSMUST00000051479			Ulk4			protein_coding
chr1-1394	chr1	90967796	90967956	+	1	NA	intron (ENSMUST00000189505.7, intron 1 of 12)	protein_coding-intron (ENSMUST00000068116.13, intron 1 of 12)	-13290	ENSMUST00000068167.13	ENSMUSG00000026305	ENSMUST00000097650			Lrrfip1			protein_coding
chr18-437	chr18	82942429	82942597	+	1	NA	intron (ENSMUST00000237340.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000071233.7, intron 1 of 5)	-3828	ENSMUST00000237056.2	ENSMUSG00000118339	ENSMUST00000236556			4930592I03Rik			lncRNA
chr10-315	chr10	23472589	23472757	+	1	NA	intron (ENSMUST00000219823.2, intron 3 of 4)	lncRNA-intron (ENSMUST00000219823.2, intron 3 of 4)	12656	ENSMUST00000219823.2	ENSMUSG00000111894	ENSMUST00000219823			Gm47843			lncRNA
chr19-565	chr19	32462567	32462721	+	1	NA	promoter-TSS (ENSMUST00000025827.10)	protein_coding-promoter-TSS (ENSMUST00000025827.10)	-525	ENSMUST00000025827.10	ENSMUSG00000024896	ENSMUST00000025827			Minpp1			protein_coding
chr18-500	chr18	69879247	69879384	+	1	NA	Intergenic	Intergenic	31801	ENSMUST00000082772.3	ENSMUSG00000119124	ENSMUST00000082772			Gm54851			misc_RNA
chr5-240	chr5	99535486	99535654	+	1	NA	intron (ENSMUST00000209346.2, intron 3 of 16)	protein_coding-intron (ENSMUST00000146396.8, intron 2 of 3)	113616	ENSMUST00000196434.2	ENSMUSG00000105686	ENSMUST00000196434			Gm35394			lncRNA
chr2-703	chr2	60699776	60699944	+	1	NA	intron (ENSMUST00000028347.13, intron 1 of 13)	protein_coding-intron (ENSMUST00000028347.13, intron 1 of 13)	11922	ENSMUST00000164147.8	ENSMUSG00000026970	ENSMUST00000164147			Rbms1			protein_coding
chr1-301	chr1	161108806	161108974	+	1	NA	Intergenic	Intergenic	17695	ENSMUST00000194329.2	ENSMUSG00000104163	ENSMUST00000194329			Gm19057			processed_pseudogene
chr2-1339	chr2	93277931	93278099	+	1	NA	intron (ENSMUST00000116457.9, intron 1 of 9)	protein_coding-intron (ENSMUST00000028644.11, intron 1 of 9)	5009	ENSMUST00000111257.8	ENSMUSG00000027215	ENSMUST00000144168			Cd82			protein_coding
chr12-470	chr12	100892197	100892365	+	1	NA	intron (ENSMUST00000233416.2, intron 1 of 2)	protein_coding-intron (ENSMUST00000068411.5, intron 25 of 29)	3043	ENSMUST00000233416.2	ENSMUSG00000021182	ENSMUST00000223416			Ccdc88c			protein_coding
chr1-1145	chr1	38162642	38162810	+	1	NA	intron (ENSMUST00000192594.6, intron 1 of 5)	protein_coding-intron (ENSMUST00000027251.12, intron 1 of 22)	4656	ENSMUST00000192594.6	ENSMUSG00000026082	ENSMUST00000193922			Rev1			protein_coding
chr15-76	chr15	98833214	98833382	+	1	NA	promoter-TSS (ENSMUST00000077577.8)	protein_coding-promoter-TSS (ENSMUST00000077577.8)	780	ENSMUST00000229635.3	ENSMUSG00000116223	ENSMUST00000229156			Gm41396			lncRNA
chr8-264	chr8	88336372	88336540	+	1	NA	Intergenic	Intergenic	-26829	ENSMUST00020182565.1	ENSMUSG00002075434	ENSMUST00020182565			Gm55366			misc_RNA
chr13-477	chr13	32959825	32959993	+	1	NA	intron (ENSMUST00000132206.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000057428.13, intron 1 of 11)	487	ENSMUST00000230119.2	ENSMUSG00000044951	ENSMUST00000057428			Mylk4			protein_coding
chr3-272	chr3	95893634	95893802	+	1	NA	exon (ENSMUST00000240966.1, exon 1 of 1)	lncRNA-exon (ENSMUST00000240966.1, exon 1 of 1)	901	ENSMUST00000240966.1	ENSMUSG00000119955	ENSMUST00000240806			Gm9054			lncRNA
chr5-283	chr5	22184902	22185070	+	1	NA	exon (ENSMUST00000062372.14, exon 32 of 64)	protein_coding-exon (ENSMUST00000062372.14, exon 32 of 64)	-22002	ENSMUST00000198176.2	ENSMUSG00000105766	ENSMUST00000198176			Gm19666			TEC
